Gene,Species,Alias
eEF2K,Human,"eEF2K, EEF2K, eEF-2K, HSU93850, MGC45041"
BAZ1A,Human,BAZ1A
BAZ1B,Human,BAZ1B
ABR,Human,ABR
BCR,Human,"BCR1, CML, D22S11, PHL, D22S662, ALL, FLJ16453, FGFR1/BCR, BCR/FGFR1, BCR"
BLVRA,Human,BLVRA
BRD2,Human,"KIAA9001, NAT, FSRG1, RING3, D6S113E, FLJ31942, DKFZp686N0336, RNF3, BRD2"
BRD3,Human,"RING3L, ORFX, KIAA0043, BRD3"
BRD4,Human,"BRD4, MCAP, CAP, HUNKI"
BRDT,Human,"BRDT, BRD6"
Col4A3BP,Human,Col4A3BP
FASTK,Human,"FASTK, FLJ13079, FAST"
G11,Human,"RP1, STK19, D6S60, MGC117388, D6S60E, HLA-RP1, G11"
GTF2F1,Human,GTF2F1
BCKDK,Human,BCKDK
PDHK1,Human,"PDK1, PDHK1"
PDHK2,Human,"PDHK2, PDK2"
PDHK3,Human,"PDK3, PDHK3"
PDHK4,Human,"PDHK4, PDK4, FLJ40832"
ATM,Human,"TEL1, ATD, ATE, ATDC, ATC, ATA, DKFZp781A0353, ATM, MGC74674, AT1, TELO1, TRIM29"
ATR,Human,"SCKL1, MEC1, ATR, FRP1, SCKL"
DNAPK,Human,"p350, DNAPK, HYRC1, DNA-PKcs, DNPK1, HYRC, PRKDC, XRCC7"
FRAP,Human,"RAFT1, FLJ44809, FRAP, FRAP1, FRAP2, Hs.FRAP1, MTOR, RAPT1, Hs.155952"
SMG1,Human,"KIAA0421, LIP, 61E3.4, SMG1, ATX"
TRRAP,Human,"PAF400, TR-AP, STAF40, Tra1, TRRAP, FLJ10671, PAF350/400"
RIOK1,Human,"bA288G3.1, RIOK1, MGC12903, AD034, FLJ30006"
RIOK2,Human,"RIOK2, FLJ11159"
RIOK3,Human,"SUDD, RIOK3, DKFZp779L1370"
TAF1,Human,"BA2R, TAF1, TAF2A, OF, NSCL2, P250, TAFII250, CCGS, CCG1"
TAF1L,Human,"MGC134910, TAF2A2, TAF1L"
TIF1D,Human,TIF1D
TIF1a,Human,"RNF82, TRIM24, TIF1a, hTIF1, TF1A, TIF1ALPHA, TIF1A, TIF1, PTC6"
TIF1b,Human,"TRIM28, KAP1, TIF1b, RNF96, FLJ29029, TIF1B, TF1B"
TIF1g,Human,"FLJ32925, TIF1GAMMA, TRIM33, TIF1G, TIF1g, TIFGAMMA, PTC7, RFG7, TF1G"
VACAMKL,Human,"VACAMKL, MGC8407, 1G5, CAMKV"
CaMK1a,Human,"CaMK1a, CAMKI, MGC120318, MGC120317, CAMK1"
CaMK1b,Human,"MGC45419, CaMK1b, PNCK"
CaMK1d,Human,"CaM-K1, CaMK1d, CKLiK, LOC57118, CaMKID, CAMK1D"
CaMK1g,Human,"CaMK1g, CAMK1G, VWS1, DJ272L16.1, dJ272L16.1, CLICKIII"
CaMK4,Human,"CaMK-GR, MGC36771, CaMK4, CAMK4"
CaMK2a,Human,"CAMKA, LOC51618, CaMK2a, CAMK2A, KIAA0968"
CaMK2b,Human,"CAM2, CAMK2, CAMK2B, MGC29528, CaMK2b, CAMKB"
CaMK2d,Human,"CaMK2d, CAMK2D, MGC44911, CAMKD"
CaMK2g,Human,"CAMK-II, FLJ16043, CaMK2g, MGC26678, CAMK2G, CAMK, CAMKG"
AMPKa1,Human,"AMPK, MGC33776, MGC57364, AMPKa1, PRKAA1"
AMPKa2,Human,"AMPK2, AMPK, PRKAA, AMPKa2, PRKAA2"
BRSK1,Human,"KIAA1811, FLJ43009, BRSK1"
BRSK2,Human,"PEN11B, C11orf7, BRSK2, SAD1, FLJ41362, STK29"
CHK1,Human,"CHEK1, CHK1, p56Chk1"
HUNK,Human,HUNK
LKB1,Human,"LKB1, STK11, PJS"
MARK1,Human,"MGC126513, MGC126512, KIAA1477, MARK1, MARK"
MARK2,Human,"EMK1, MGC99619, PAR-1, MARK2"
MARK3,Human,"KP78, PAR1A, CTAK1, MARK3"
MARK4,Human,"MARK4, MARKL1, KIAA1860, Nbla00650, FLJ90097"
MELK,Human,"MELK, HPK38, KIAA0175"
NIM1,Human,"NIM1, MGC42105"
NuaK1,Human,"NuaK1, ARK5, KIAA0537, NUAK1"
NuaK2,Human,"DKFZP434J037, NuaK2, DKFZp686F01113, SNARK, FLJ90349, NUAK2"
PASK,Human,"PASK, PASKIN, DKFZp686P2031, DKFZP434O051, STK37, KIAA0135"
QIK,Human,"SNF1LK2, DKFZp434K1115, QIK, SIK2, LOH11CR1I, KIAA0781, Hs.42676"
QSK,Human,"QSK, KIAA0999, FLJ12240, L19"
SIK,Human,"SIK, SNF1LK, MSK"
SNRK,Human,"SNRK, KIAA0096, HSNFRK, FLJ20224, DKFZp779A1866"
CASK,Human,"LIN2, CASK, hCASK"
DAPK1,Human,"DAPK, DKFZp781I035, DAPK1"
DAPK2,Human,"MGC119312, Hs.129208, DRP1, DAPK2, DRP-1"
DAPK3,Human,"ZIPK, DAPK3, ZIP, FLJ36473"
DRAK1,Human,"DRAK1, STK17A"
DRAK2,Human,"DRAK2, STK17B"
DCLK1,Human,"DCAMKL1, DCLK1"
DCLK2,Human,"DCAMKL2, DCLK2"
DCLK3,Human,"DCAMKL3, DCLK3"
MAPKAPK2,Human,"MAPKAPK2, MK2"
MAPKAPK3,Human,"MAPKAP3, 3PK, MAPKAPK3"
MAPKAPK5,Human,"MAPKAPK5, MAPKAP5, PRAK"
MNK1,Human,"MKNK1, MNK1"
MNK2,Human,"MKNK2, GRK7, GPRK7, MNK2"
SgK085,Human,"SgK085, RP11-145H9.1, LOC340156"
TTN,Human,"CMPD4, FLJ26409, HMERF, DKFZp451N061, FLJ43066, FLJ26020, CMH9, LGMD2J, FLJ34413, TMD, TTN, FLJ39564, CMD1G, connectin, FLJ32040"
caMLCK,Human,"MGC126319, MLCK, caMLCK, MLCK2, MGC126320"
skMLCK,Human,"MLCK, skMLCK, MYLK2, KMLC"
smMLCK,Human,"FLJ12216, MLCK, KRP, MYLK, DKFZp686I10125, MSTP083, MLCK108, smMLCK, MLCK210, Hs.75950"
PHKg1,Human,"PHKG, PHKG1, PHKg1"
PHKg2,Human,"PHKg2, PHKG2"
PIM1,Human,"PIM, PIM1"
PIM2,Human,"hPim-2, Hs.80205, PIM2"
PIM3,Human,"pim-3, PIM3"
PKD1,Human,"PRKCM, PKC-MU, PKD1, PKD, PRKD1, PKCM"
PKD2,Human,"PKD2, PRKD2, HSPC187"
PKD3,Human,"PRKCN, PKD3, nPKC-NU, PKC-NU, EPK2, PKCnu, PRKD3"
PSKH1,Human,PSKH1
PSKH2,Human,PSKH2
CHK2,Human,"PP1425, LFS2, CHK2, RAD53, HuCds1, CDS1, CHEK2"
STK33,Human,STK33
SgK495,Human,"SHIK, MGC4796, RP11-268J15.4, STK40, SgK495"
SSTK,Human,"TSSK6, SSTK, TSSK4, FLJ24002"
TSSK1,Human,"FKSG81, TSSK1B, STK22D, SPOGA4, TSSK1"
TSSK2,Human,"STK22B, FLJ38613, DGS-G, TSSK2, SPOGA2"
TSSK3,Human,"STK22D, TSSK3, STK22C, SPOGA3"
TSSK4,Human,"TSSK4, MGC133264, C14orf20, TSSK5, STK22E, c14_5117"
Trb1,Human,"TRIB1, SKIP1, C8FW, Trb1, GIG2"
Trb2,Human,"Hs.155418, TRB2, GS3955, TRIB2, Trb2"
Trb3,Human,"C20orf97, NIPK, Trb3, SKIP3, SINK, TRIB3, LOC57761, TRB3"
Obscn,Human,"Obscn, OBSCN, UNC89, MGC120410, KIAA1556, MGC120412, MGC138590, MGC120411, FLJ14124, KIAA1639, DKFZp666E245, MGC120409"
SPEG,Human,"SPEG, APEG1, LOC729871"
Trad,Human,"Trad, FLJ16443, TRAD, KALRN, duo, Hs.162189, DUET, HAPIP"
Trio,Human,"tgat, Trio, TRIO"
CK1a,Human,"CK1a, PRO2975, CSNK1A1, HLCDGP1, CK1, CKI-Alpha"
CK1a2,Human,"CSNK1A1L, CK1a2, MGC33182, RP11-532O21.2"
CK1d,Human,"CSNK1D, CK1-delta, HCKID, CK1d"
CK1e,Human,"MGC10398, CSNK1E, CK1e, HCKIE"
CK1g1,Human,"CK1g1, CSNK1G1, CK1gamma1"
CK1g2,Human,"CSNK1G2, CK1g2"
CK1g3,Human,"CK1g3, CKIG3, CSNK1G3"
TTBK1,Human,"BDTK, TTBK1, RP3-330M21.4, KIAA1855"
TTBK2,Human,"TTBK2, KIAA0847, TTBK"
VRK1,Human,"MGC117401, MGC138280, MGC142070, VRK1"
VRK2,Human,VRK2
VRK3,Human,"LOC51231, VRK3"
CCRK,Human,"CDCH, CCRK, p42"
CDC2,Human,"DKFZp686L20222, CDC28A, MGC111195, CDK1, p34cdc2, CDC2"
CDK10,Human,"CDK10, PISSLRE"
CDK11a,Human,"PITSLRE, p58CLK-1, p58CDC2L1, MGC131975, Hs.169204, CDC2L3, CDK11a, CDK11-p46, PK58, p58GTA, p58, CDC2L1, CDC2L2, CLK-1, CDK11-p110, CDK11-p58"
CDK11b,Human,CDK11b
CDK2,Human,"p33(CDK2, p33(CDK2), CDK2, p33CDK2, p34CDK2"
CDK3,Human,CDK3
CDK4,Human,"PSK-J3, CDK4, CMM3, MGC14458"
CDK6,Human,"MGC59692, PLSTIRE, CDK6"
CDK5,Human,"PSSALRE, NCLK, CDK5"
CDK7,Human,"CDKN7, CDK7, CAK1, STK1, TFIIH, p39MO15"
CDK19,Human,"bA346C16.3, CDC2L6, CDK19, CDK11, KIAA1028"
CDK8,Human,"CDK8, K35, MGC126074, MGC126075"
CDK9,Human,"CDC2L4, CDK9, PITALRE, C-2k, TAK"
CHED,Human,"CDC2L5, CHED, CDC2L, KIAA1791, FLJ35215"
CRK7,Human,"CRKR, CrkRS, CRK7, CRKRS, KIAA0904"
PCTAIRE1,Human,"PCTK1, PCTGAIRE, FLJ16665, PCTAIRE, PCTAIRE1"
PCTAIRE2,Human,"PCTK2, PCTAIRE2"
PCTAIRE3,Human,"PCTK3, PCTAIRE, PCTAIRE3"
PFTAIRE1,Human,"PFTAIRE1, KIAA0834, PFTK1"
PFTAIRE2,Human,"ALS2CR7, PFTAIRE2"
CDKL1,Human,"KKIALRE, CDKL1, p42"
CDKL2,Human,"KKIAMRE, P56, CDKL2"
CDKL3,Human,"NKIAMRE, LOC51265, CDKL3"
CDKL4,Human,CDKL4
CDKL5,Human,"CDKL5, STK9, ISSX"
CK2a1,Human,"CKII, CKII alpha, CK2a1, CK2alpha, CK2A1, CSNK2A1"
CK2a2,Human,"CK2a2, CK2A2, FLJ43934, CK2alpha`, CSNK2A2, CSNK2A1"
CLK1,Human,"CLK/STY, CLK1, STY, CLK"
CLK2,Human,"MGC61500, CLK2, hCLK2, clk2"
CLK3,Human,"CLK3, FLJ22858"
CLK4,Human,"DKFZp686A20267, CLK4"
DYRK1A,Human,"MNBH, DYRK, DYRK1, HP86, DYRK1A, MNB"
DYRK1B,Human,"DYRK1B, MIRK"
DYRK2,Human,DYRK2
DYRK3,Human,"REDK, DYRK3, DYRK5, RED"
DYRK4,Human,DYRK4
HIPK1,Human,"MGC33548, MGC33446, KIAA0630, MGC26642, HIPK1, Nbak2, Myak"
HIPK2,Human,"HIPK2, PRO0593"
HIPK3,Human,"HIPK3, FIST3, YAK1, PKY, DYRK6"
HIPK4,Human,"FLJ32818, HIPK4"
PRP4,Human,"dJ1013A10.1, PRPF4B, PRP4K, PRP4H, PRP4, KIAA0536, PR4H"
GSK3A,Human,"DKFZp686D0638, Hs.118890, GSK3A"
GSK3B,Human,GSK3B
Erk1,Human,"Erk1, P44MAPK, HUMKER1A, ERK1, PRKM3, P44ERK1, MAPK3, MGC20180, HS44KDAP, p44, ERK-1"
Erk2,Human,"Erk2, P41MAPK, PRKM2, PRKM1, ERK2, MAPK2, p38, MAPK1, ERK, P42MAPK, p41mapk, ERT1, p41, p40"
Erk3,Human,"DKFZp686F03189, Erk3, p97MAPK, HsT17250, PRKM6, ERK3, MAPK6, P97MAPK"
Erk4,Human,"ERK3, Erk4, ERK3-RELATED, PRKM4, MAPK4, p63mapk, p63MAPK"
Erk5,Human,"ERK4, Erk5, BMK1, PRKM7, MAPK7, ERK5"
Erk7,Human,"ERK8, MAPK15, ERK7, Erk7"
JNK1,Human,"PRKM8, JNK1, SAPK, JNK21B1_2, JNK21B1/2, JNK1A2, JNK, MAPK8, SAPK1"
JNK2,Human,"JNK2BETA, PRKM9, p54aSAPK, JNK2, JNK2ALPHA, JNK2A, JNK2B, JNK-55, MAPK9"
JNK3,Human,"SAPKbeta, JNK3A, p54bSAPK, JNK3, JNK3A2, FLJ33785, MGC50974, p493F12, P493F12, FLJ12099, MAPK10, P54BSAPK, PRKM10"
NLK,Human,"DKFZp761G1211, NLK, LOC51701, FLJ21033"
p38a,Human,"MAPK14, Exip, SAPK2a, CSBP1, Mxi2, CSBP2, P38, p38a, p38, PRKM14, EXIP, SAPK2A, RK, p38alpha, CSPB1, MXI2, PRKM15, p38ALPHA"
p38b,Human,"p38Beta, P38B, p38-2, P38-2, p38-BETA, P38BETA2, MAPK11, p38b, P38BETA, PRKM11, SAPK2, SAPK2B"
p38d,Human,"PRKM13, p38d, P38DELTA, MGC99536, MAPK13, SAPK4, p38delta"
p38g,Human,"P38GAMMA, ERK3, ERK6, p38g, MAPK12, PRKM12, SAPK-3, p38_gamma, SAPK3"
ICK,Human,"ICK, KIAA0936, MGC43611, MGC131603, ROCK1, P160ROCK"
MAK,Human,"MAK, dJ417M14.2"
MOK,Human,"MOK, RAGE1, RAGE"
MSSK1,Human,"MGC102944, STK23, SRPK3, MSSK1"
SRPK1,Human,"SFRSK1, SRPK1"
SRPK2,Human,"SFRSK2, FLJ36101, SRPK2"
NME1A,Human,NME1A
NME1B,Human,NME1B
NME3,Human,NME3
NME4,Human,NME4
NME5,Human,NME5
NME6,Human,NME6
NME7a,Human,NME7a
TXNDC3,Human,TXNDC3
TXNDC6,Human,TXNDC6
AurA,Human,"MGC34538, BTAK, STK7, STK15, AURORA2, AURA, AIK, AurA, STK6, ARK1, AURKA"
AurB,Human,"AURKB, AIRK2(AIM1, AIM-1, AIK2, AIM1, STK12, IPL1, STK5, AurB, ARK2"
AurC,Human,"AIE2, AIK3, STK13, AurC, aurora-C, AURKC"
BUB1,Human,"BUB1A, BUB1, hBUB1, BUB1L"
BUBR1,Human,"Bub1A, BUB1B, SSK1, hBUBR1, MAD3L, BUBR1, BUB1beta"
PRPK,Human,"BUD32, PRPK, Nori-2, C20orf64, 2, dJ101A2, TP53RK, Nori-2p"
CaMKK1,Human,"MGC34095, CaMKK1, DKFZp761M0423, CAMKK1, CAMKKA"
CaMKK2,Human,"CAMKKB, MGC15254, CAMKK2, Hs.197806, CAMKK, CaMKK2, KIAA0787"
CDC7,Human,"huCDC7, CDC7L1, MGC126238, MGC126237, Hsk1, MGC117361, HsCDC7, CDC7"
Dusty,Human,"Dusty, DustyPK, RIPK5, RIP5, SgK496, KIAA0472, HDCMD38P"
Haspin,Human,"GSG2, Haspin"
IKKa,Human,"TCF16, IKK1, Hs.159147, IKK-ALPHA, CHUK, IKBKA, IKK-alpha, NFKBIKA, IKKA, IKKa"
IKKb,Human,"IKBKB, MGC131801, IKK2, FLJ40509, IKK-beta, Hs.226573, NFKBIKB, Hs.166208, IKKB, IKKb"
IKKe,Human,"IKKE, MGC125295, MGC125294, MGC125297, IKKe, KIAA0151, IKBKE, IKK-i, IKKI"
TBK1,Human,"NAK, T2K, FLJ11330, TBK1"
IRE1,Human,"IRE1, MGC163279, IRE1P, MGC163277, FLJ30999, ERN1"
IRE2,Human,"IRE2, ERN2, IRE1b"
KIS,Human,"KIS, Kist, UHMK1"
MOS,Human,"MOS, MSV, c-mos, MGC119963, MGC119962"
AAK1,Human,"KIAA1048, AAK1, MGC138170"
BIKE,Human,"DKFZp434K0614, BIKE, HRIHFB2017, BMP2K, DKFZp434P0116"
GAK,Human,"FLJ40395, MGC99654, GAK"
MPSK1,Human,"PKL12, STK16, MPSK, MPSK1, TSF1, FLJ39635, KRCT"
NEK1,Human,"NEK1, DKFZp686D06121, DKFZp686K12169, MGC138800, NY-REN-55, KIAA1901"
NEK3,Human,"HSPK36, MGC29949, NEK3"
NEK5,Human,"NEK5, MGC75495"
NEK10,Human,"FLJ32685, NEK10"
NEK11,Human,"NEK11, FLJ23495"
NEK2,Human,"NEK2, HsPK 21, HsPK_21, HsPK21, NEK2A, NLK1"
NEK4,Human,"NEK4, pp12301, STK2, MGC33171, NRK2"
NEK6,Human,"NEK6, SID6-1512"
NEK7,Human,NEK7
NEK8,Human,"MGC138445, NEK12A, NEK8, JCK"
NEK9,Human,"MGC138306, NERCC, DKFZp434D0935, Nek8, NEK9, NERCC1, MGC16714"
SBK,Human,"SBK, SBK1, Sbk"
SgK069,Human,"SgK069, LOC646643"
SgK110,Human,"SgK110, LOC646643"
PINK1,Human,"PINK1, PARK6, BRPK, FLJ27236"
SgK223,Human,"pragmin, DKFZp761P0423, SgK223"
SgK269,Human,"SgK269, FLJ21140, FLJ34483, KIAA2002"
CLIK1,Human,"STK35, CLIK1"
CLIK1L,Human,"RP11-96L14.4, CLIK1L, PDIK1L"
SgK307,Human,"SgK307, TEX14"
NRBP1,Human,"MUDPNP, FLJ35541, NRBP, MADM, FLJ27109, BCON3, NRBP1"
NRBP2,Human,"pp9320, TRG16, MGC138699, DKFZp434P086, NRBP2"
RNAseL,Human,"RNS4, MGC104972, DKFZp781D08126, RNASEL, MGC133329, RNAseL, PRCA1"
SgK196,Human,"MGC126597, SgK196, FLJ23356"
SgK396,Human,"STK31, TDRD8, SgK396, FLJ16102"
PAN3,Human,PAN3
GCN2,Human,"GCN2, KIAA1338, EIF2AK4"
HRI,Human,"EIF2AK1, HRI, KIAA1369"
PEK,Human,"PERK, EIF2AK3, DKFZp781H1925, WRS, PEK"
PKR,Human,"PKR, EIF2AK1, p68, EIF2AK2, PRKR, MGC126524"
PLK1,Human,"PLK1, STPK13, PLK"
PLK2,Human,"PLK2, SNK"
PLK3,Human,"PLK3, FNK, CNK, PRK"
PLK4,Human,"SAK, STK18, PLK4"
SCYL1,Human,"NTKL, TEIF, P105, NKTL, SCYL1, MGC78454, GKLP, TAPK, HT019, TRAP"
SCYL2,Human,"FLJ10074, KIAA1360, SCYL2, CVAK104"
SCYL3,Human,"LOC57147, PACE-1, PACE1, SCYL3, RP1-97P20.2"
SgK071,Human,"RP11-244N20.8, C9orf96, SgK071, MGC43306"
SgK493,Human,"SgK493, MGC125960, LOC91461"
Slob,Human,"PXK, MONaKA, FLJ20335, Slob"
TBCK,Human,"MGC16169, TBCK, HSPC302"
TLK1,Human,"KIAA0137, PKU-BETA, TLK1"
TLK2,Human,"Hs.57553, MGC44450, PKU-ALPHA, TLK2"
PBK,Human,"SPK, Hs.104741, LOC55872, Nori-3, FLJ14385, TOPK, LOC55886, PBK"
TTK,Human,"TTK, MPS1L1, PYT, ESK, FLJ38280"
Fused,Human,"DKFZp434N0223, Fused, STK36, KIAA1278, FU"
ULK1,Human,"FLJ38455, Unc51.1, ULK1, UNC51, ATG1"
ULK2,Human,"ULK2, KIAA0623, Unc51.2"
ULK3,Human,"FLJ90566, ULK3, DKFZP434C131"
ULK4,Human,"FAM7C1, FLJ20574, DKFZp434E1822, ULK4, REC01035"
PIK3R4,Human,"MGC102700, VPS15, PIK3R4, p150, P150"
MYT1,Human,"DKFZp547K1610, FLJ20093, PKMYT1, MYT1"
Wee1,Human,"FLJ16446, Wee1, WEE1, DKFZp686I18166, WEE1hu"
Wee1B,Human,"FLJ40852, Wee1B"
Wnk1,Human,"KIAA0344, Wnk1, PRKWNK1, WNK1, KDP, PHA2C"
Wnk2,Human,"PRKWNK2, Wnk2, KIAA1760, WNK2, NY-CO-43, P/OKcl.13, SDCCAG43"
Wnk3,Human,"Wnk3, PRKWNK3, KIAA1566, WNK3"
Wnk4,Human,"PRKWNK4, PHA2B, WNK4, Wnk4"
FAM198A,Human,FAM198A
FAM198B,Human,FAM198B
FAM20A,Human,FAM20A
FAM20B,Human,FAM20B
FAM20C,Human,FAM20C
FJB1,Human,FJB1
ANPa,Human,"ANPa, GUCY2A, NPR1, ANPRA, NPRA, GUC2A"
ANPb,Human,"ANPRB, ANPb, GUCY2B, GC-B, NPR2, NPRBi, NPRB, AMDM, GUC2B"
CYGD,Human,"GUCY2D, CYGD, retGC, ROS-GC1, LCA1, LCA, GUC2D, GUC1A4, retGC-1, CORD5, RETGC-1, retGC1, CORD6"
CYGF,Human,"ROS-GC2, GUCY2F, CYGF, GC-F, GUC2F, GUC2DL, RETGC-2"
HSER,Human,"HSER, GUCY2C, STAR, GC-C, GUC2C"
COT,Human,"ESTF, EST, COT, Tpl-2, MAP3K8, TPL2, TPL-2, FLJ10486, c-COT"
NIK,Human,"NIK, HSNIK, FTDCR1B, MAP3K14, HS"
MAP3K5,Human,"ASK1, MAPKKK5, MEKK5, NAP160, MAP3K5"
MAP3K6,Human,"MGC20114, MGC125653, MAP3K6, MAPKKK6, ASK2"
MAP3K7,Human,"bA723P2.3, FLJ16518, MAP3K7, MAP3K15"
MAP3K1,Human,"MEKK1, MEKK, MAP3K1, MAPKKK1"
MEKK15,Human,"YSK4, FLJ23074, MEKK15, RCK"
