GSK_REG_NO,MOLREGNO,CHEMBL_ID,INCHI,SMILES,PARENT_CHEMBL_ID,PARENT_INCHI,PARENT_SMILES,TARGETS,TARGET_CHEMBL_IDS,REF_CHEMBL_ID,REFERENCE,PUBMED_ID
GSK1173862A,498380,CHEMBL477069,"InChI=1S/C28H32FN7O2/c1-3-12-36-13-4-5-18(16-36)17-6-9-22(24(14-17)38-2)33-28-34-26-21(10-11-31-26)27(35-28)32-23-15-19(29)7-8-20(23)25(30)37/h6-11,14-15,18H,3-5,12-13,16H2,1-2H3,(H2,30,37)(H3,31,32,33,34,35)",CCCN1CCCC(C1)c2ccc(Nc3nc(Nc4cc(F)ccc4C(=O)N)c5cc[nH]c5n3)c(OC)c2,CHEMBL477069,"InChI=1S/C28H32FN7O2/c1-3-12-36-13-4-5-18(16-36)17-6-9-22(24(14-17)38-2)33-28-34-26-21(10-11-31-26)27(35-28)32-23-15-19(29)7-8-20(23)25(30)37/h6-11,14-15,18H,3-5,12-13,16H2,1-2H3,(H2,30,37)(H3,31,32,33,34,35)",CCCN1CCCC(C1)c2ccc(Nc3nc(Nc4cc(F)ccc4C(=O)N)c5cc[nH]c5n3)c(OC)c2,IGF-1R,CHEMBL1957,CHEMBL1153895,"Bioorg. Med. Chem. Lett., 19, p. 469 (2009)",19056263
GSK1220512A,495459,CHEMBL458865,"InChI=1S/C27H31FN8O2/c1-16(2)35-10-12-36(13-11-35)18-5-7-22(23(15-18)38-3)32-27-33-25-19(8-9-30-25)26(34-27)31-21-6-4-17(28)14-20(21)24(29)37/h4-9,14-16H,10-13H2,1-3H3,(H2,29,37)(H3,30,31,32,33,34)",COc1cc(ccc1Nc2nc(Nc3ccc(F)cc3C(=O)N)c4cc[nH]c4n2)N5CCN(CC5)C(C)C,CHEMBL458865,"InChI=1S/C27H31FN8O2/c1-16(2)35-10-12-36(13-11-35)18-5-7-22(23(15-18)38-3)32-27-33-25-19(8-9-30-25)26(34-27)31-21-6-4-17(28)14-20(21)24(29)37/h4-9,14-16H,10-13H2,1-3H3,(H2,29,37)(H3,30,31,32,33,34)",COc1cc(ccc1Nc2nc(Nc3ccc(F)cc3C(=O)N)c4cc[nH]c4n2)N5CCN(CC5)C(C)C,IGF-1R,CHEMBL1957,CHEMBL1153895,"Bioorg. Med. Chem. Lett., 19, p. 469 (2009)",19056263
GSK1326255A,498381,CHEMBL476259,"InChI=1S/C28H32FN7O2/c1-3-12-36-13-9-17(10-14-36)18-4-7-22(24(15-18)38-2)33-28-34-26-21(8-11-31-26)27(35-28)32-23-16-19(29)5-6-20(23)25(30)37/h4-8,11,15-17H,3,9-10,12-14H2,1-2H3,(H2,30,37)(H3,31,32,33,34,35)",CCCN1CCC(CC1)c2ccc(Nc3nc(Nc4cc(F)ccc4C(=O)N)c5cc[nH]c5n3)c(OC)c2,CHEMBL476259,"InChI=1S/C28H32FN7O2/c1-3-12-36-13-9-17(10-14-36)18-4-7-22(24(15-18)38-2)33-28-34-26-21(8-11-31-26)27(35-28)32-23-16-19(29)5-6-20(23)25(30)37/h4-8,11,15-17H,3,9-10,12-14H2,1-2H3,(H2,30,37)(H3,31,32,33,34,35)",CCCN1CCC(CC1)c2ccc(Nc3nc(Nc4cc(F)ccc4C(=O)N)c5cc[nH]c5n3)c(OC)c2,IGF-1R,CHEMBL1957,CHEMBL1153895,"Bioorg. Med. Chem. Lett., 19, p. 469 (2009)",19056263
GSK1392956A,497802,CHEMBL450071,"InChI=1S/C30H37FN8O4/c1-18(2)38-10-12-39(13-11-38)20-5-7-25(26(15-20)43-3)35-30-36-27-22(8-9-32-27)28(37-30)34-24-6-4-19(31)14-23(24)29(42)33-16-21(41)17-40/h4-9,14-15,18,21,40-41H,10-13,16-17H2,1-3H3,(H,33,42)(H3,32,34,35,36,37)/t21-/m1/s1",COc1cc(ccc1Nc2nc(Nc3ccc(F)cc3C(=O)NC[C@@H](O)CO)c4cc[nH]c4n2)N5CCN(CC5)C(C)C,CHEMBL450071,"InChI=1S/C30H37FN8O4/c1-18(2)38-10-12-39(13-11-38)20-5-7-25(26(15-20)43-3)35-30-36-27-22(8-9-32-27)28(37-30)34-24-6-4-19(31)14-23(24)29(42)33-16-21(41)17-40/h4-9,14-15,18,21,40-41H,10-13,16-17H2,1-3H3,(H,33,42)(H3,32,34,35,36,37)/t21-/m1/s1",COc1cc(ccc1Nc2nc(Nc3ccc(F)cc3C(=O)NC[C@@H](O)CO)c4cc[nH]c4n2)N5CCN(CC5)C(C)C,IGF-1R,CHEMBL1957,CHEMBL1153895,"Bioorg. Med. Chem. Lett., 19, p. 469 (2009)",19056263
GSK1511931A,496359,CHEMBL458438,"InChI=1S/C29H32N8O/c1-19(2)36-14-16-37(17-15-36)20-9-10-25(26(18-20)38-3)33-29-34-27-22(11-13-31-27)28(35-29)32-24-8-4-7-23-21(24)6-5-12-30-23/h4-13,18-19H,14-17H2,1-3H3,(H3,31,32,33,34,35)",COc1cc(ccc1Nc2nc(Nc3cccc4ncccc34)c5cc[nH]c5n2)N6CCN(CC6)C(C)C,CHEMBL458438,"InChI=1S/C29H32N8O/c1-19(2)36-14-16-37(17-15-36)20-9-10-25(26(18-20)38-3)33-29-34-27-22(11-13-31-27)28(35-29)32-24-8-4-7-23-21(24)6-5-12-30-23/h4-13,18-19H,14-17H2,1-3H3,(H3,31,32,33,34,35)",COc1cc(ccc1Nc2nc(Nc3cccc4ncccc34)c5cc[nH]c5n2)N6CCN(CC6)C(C)C,IGF-1R,CHEMBL1957,CHEMBL1154545,"Bioorg. Med. Chem. Lett., 19, p. 373 (2009)",19081716
GSK1713088A,495775,CHEMBL517171,"InChI=1S/C28H31ClFN7O3/c1-3-11-37-12-8-16(9-13-37)40-22-15-21(23(39-2)14-18(22)29)34-28-35-26-17(7-10-32-26)27(36-28)33-20-6-4-5-19(30)24(20)25(31)38/h4-7,10,14-16H,3,8-9,11-13H2,1-2H3,(H2,31,38)(H3,32,33,34,35,36)",CCCN1CCC(CC1)Oc2cc(Nc3nc(Nc4cccc(F)c4C(=O)N)c5cc[nH]c5n3)c(OC)cc2Cl,CHEMBL517171,"InChI=1S/C28H31ClFN7O3/c1-3-11-37-12-8-16(9-13-37)40-22-15-21(23(39-2)14-18(22)29)34-28-35-26-17(7-10-32-26)27(36-28)33-20-6-4-5-19(30)24(20)25(31)38/h4-7,10,14-16H,3,8-9,11-13H2,1-2H3,(H2,31,38)(H3,32,33,34,35,36)",CCCN1CCC(CC1)Oc2cc(Nc3nc(Nc4cccc(F)c4C(=O)N)c5cc[nH]c5n3)c(OC)cc2Cl,IGF-1R,CHEMBL1957,CHEMBL1154536,"Bioorg. Med. Chem. Lett., 19, p. 360 (2009)",19071018
GSK1751853A,495919,CHEMBL505915,"InChI=1S/C31H36FN9O3/c1-18(2)40-13-11-39(12-14-40)17-26(42)41-10-8-19-15-25(44-3)23(16-24(19)41)36-31-37-29-20(7-9-34-29)30(38-31)35-22-6-4-5-21(32)27(22)28(33)43/h4-7,9,15-16,18H,8,10-14,17H2,1-3H3,(H2,33,43)(H3,34,35,36,37,38)",COc1cc2CCN(C(=O)CN3CCN(CC3)C(C)C)c2cc1Nc4nc(Nc5cccc(F)c5C(=O)N)c6cc[nH]c6n4,CHEMBL505915,"InChI=1S/C31H36FN9O3/c1-18(2)40-13-11-39(12-14-40)17-26(42)41-10-8-19-15-25(44-3)23(16-24(19)41)36-31-37-29-20(7-9-34-29)30(38-31)35-22-6-4-5-21(32)27(22)28(33)43/h4-7,9,15-16,18H,8,10-14,17H2,1-3H3,(H2,33,43)(H3,34,35,36,37,38)",COc1cc2CCN(C(=O)CN3CCN(CC3)C(C)C)c2cc1Nc4nc(Nc5cccc(F)c5C(=O)N)c6cc[nH]c6n4,IGF-1R,CHEMBL1957,CHEMBL1154536,"Bioorg. Med. Chem. Lett., 19, p. 360 (2009)",19071018
GSK180736A,365445,CHEMBL384073,"InChI=1S/C19H16FN5O2/c1-10-16(17(24-19(27)22-10)11-2-4-13(20)5-3-11)18(26)23-14-6-7-15-12(8-14)9-21-25-15/h2-9,17H,1H3,(H,21,25)(H,23,26)(H2,22,24,27)",CC1=C(C(NC(=O)N1)c2ccc(F)cc2)C(=O)Nc3ccc4[nH]ncc4c3,CHEMBL384073,"InChI=1S/C19H16FN5O2/c1-10-16(17(24-19(27)22-10)11-2-4-13(20)5-3-11)18(26)23-14-6-7-15-12(8-14)9-21-25-15/h2-9,17H,1H3,(H,21,25)(H,23,26)(H2,22,24,27)",CC1=C(C(NC(=O)N1)c2ccc(F)cc2)C(=O)Nc3ccc4[nH]ncc4c3,ROCK1,CHEMBL3231,CHEMBL1139217,"J. Med. Chem., 50, p. 6 (2007)",17201405
GSK1819799A,495396,CHEMBL514261,"InChI=1S/C27H30FN7O3/c1-16(2)34-11-13-35(14-12-34)17-7-8-20(22(15-17)38-3)31-27-32-24-18(9-10-29-24)25(33-27)30-21-6-4-5-19(28)23(21)26(36)37/h4-10,15-16H,11-14H2,1-3H3,(H,36,37)(H3,29,30,31,32,33)",COc1cc(ccc1Nc2nc(Nc3cccc(F)c3C(=O)O)c4cc[nH]c4n2)N5CCN(CC5)C(C)C,CHEMBL514261,"InChI=1S/C27H30FN7O3/c1-16(2)34-11-13-35(14-12-34)17-7-8-20(22(15-17)38-3)31-27-32-24-18(9-10-29-24)25(33-27)30-21-6-4-5-19(28)23(21)26(36)37/h4-10,15-16H,11-14H2,1-3H3,(H,36,37)(H3,29,30,31,32,33)",COc1cc(ccc1Nc2nc(Nc3cccc(F)c3C(=O)O)c4cc[nH]c4n2)N5CCN(CC5)C(C)C,IGF-1R,CHEMBL1957,CHEMBL1154545,"Bioorg. Med. Chem. Lett., 19, p. 373 (2009)",19081716
GSK182497A,471645,CHEMBL517123,"InChI=1S/C28H25ClFN5O3S/c1-35(2)28(36)38-21-11-19(31-14-21)6-8-22-13-24-26(39-22)27(33-16-32-24)34-20-7-9-25(23(29)12-20)37-15-17-4-3-5-18(30)10-17/h3-5,7,9-10,12-13,16,19,21,31H,11,14-15H2,1-2H3,(H,32,33,34)/t19-,21-/m1/s1",CN(C)C(=O)O[C@H]1CN[C@@H](C1)C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2,CHEMBL517123,"InChI=1S/C28H25ClFN5O3S/c1-35(2)28(36)38-21-11-19(31-14-21)6-8-22-13-24-26(39-22)27(33-16-32-24)34-20-7-9-25(23(29)12-20)37-15-17-4-3-5-18(30)10-17/h3-5,7,9-10,12-13,16,19,21,31H,11,14-15H2,1-2H3,(H,32,33,34)/t19-,21-/m1/s1",CN(C)C(=O)O[C@H]1CN[C@@H](C1)C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2,EGFR/ErbB2,CHEMBL203/CHEMBL1824,CHEMBL1143296,"Bioorg. Med. Chem. Lett., 19, p. 817 (2009)",19111461
GSK192082A,471573,CHEMBL512076,"InChI=1S/C28H25ClFN5O3S/c1-2-31-28(36)38-21-11-19(32-14-21)6-8-22-13-24-26(39-22)27(34-16-33-24)35-20-7-9-25(23(29)12-20)37-15-17-4-3-5-18(30)10-17/h3-5,7,9-10,12-13,16,19,21,32H,2,11,14-15H2,1H3,(H,31,36)(H,33,34,35)/t19-,21-/m1/s1",CCNC(=O)O[C@H]1CN[C@@H](C1)C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2,CHEMBL512076,"InChI=1S/C28H25ClFN5O3S/c1-2-31-28(36)38-21-11-19(32-14-21)6-8-22-13-24-26(39-22)27(34-16-33-24)35-20-7-9-25(23(29)12-20)37-15-17-4-3-5-18(30)10-17/h3-5,7,9-10,12-13,16,19,21,32H,2,11,14-15H2,1H3,(H,31,36)(H,33,34,35)/t19-,21-/m1/s1",CCNC(=O)O[C@H]1CN[C@@H](C1)C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2,EGFR/ErbB2,CHEMBL203/CHEMBL1824,CHEMBL1143296,"Bioorg. Med. Chem. Lett., 19, p. 817 (2009)",19111461
GSK200398A,1249179,CHEMBL1909408,"InChI=1S/C31H29N7O3S.ClH/c39-31(37-10-12-40-13-11-37)41-25-15-23(32-18-25)6-8-26-16-27-29(42-26)30(34-20-33-27)36-24-7-9-28-22(14-24)17-35-38(28)19-21-4-2-1-3-5-21;/h1-5,7,9,14,16-17,20,23,25,32H,10-13,15,18-19H2,(H,33,34,36);1H/t23-,25-;/m1./s1",Cl.O=C(O[C@H]1CN[C@@H](C1)C#Cc2cc3ncnc(Nc4ccc5c(cnn5Cc6ccccc6)c4)c3s2)N7CCOCC7,CHEMBL507821,"InChI=1S/C31H29N7O3S/c39-31(37-10-12-40-13-11-37)41-25-15-23(32-18-25)6-8-26-16-27-29(42-26)30(34-20-33-27)36-24-7-9-28-22(14-24)17-35-38(28)19-21-4-2-1-3-5-21/h1-5,7,9,14,16-17,20,23,25,32H,10-13,15,18-19H2,(H,33,34,36)/t23-,25-/m1/s1",O=C(O[C@H]1CN[C@@H](C1)C#Cc2cc3ncnc(Nc4ccc5c(cnn5Cc6ccccc6)c4)c3s2)N7CCOCC7,EGFR/ErbB2,CHEMBL203/CHEMBL1824,CHEMBL1153281,"Bioorg. Med. Chem. Lett., 19, p. 1332 (2009)",19208477
GSK204925A,476024,CHEMBL473629,"InChI=1S/C22H21N3O4S/c1-27-17-10-15-16(11-18(17)28-2)25(13-24-15)20-12-19(21(30-20)22(23)26)29-9-8-14-6-4-3-5-7-14/h3-7,10-13H,8-9H2,1-2H3,(H2,23,26)",COc1cc2ncn(c3cc(OCCc4ccccc4)c(s3)C(=O)N)c2cc1OC,CHEMBL473629,"InChI=1S/C22H21N3O4S/c1-27-17-10-15-16(11-18(17)28-2)25(13-24-15)20-12-19(21(30-20)22(23)26)29-9-8-14-6-4-3-5-7-14/h3-7,10-13H,8-9H2,1-2H3,(H2,23,26)",COc1cc2ncn(c3cc(OCCc4ccccc4)c(s3)C(=O)N)c2cc1OC,PLK1,CHEMBL3024,CHEMBL1143265,"Bioorg. Med. Chem. Lett., 19, p. 1018 (2009)",19097784
GSK2110236A,495399,CHEMBL456252,"InChI=1S/C25H28N8O3S/c1-32(2)13-20(34)33-9-4-5-14-11-19(36-3)17(12-18(14)33)29-25-30-23-15(6-8-27-23)24(31-25)28-16-7-10-37-21(16)22(26)35/h6-8,10-12H,4-5,9,13H2,1-3H3,(H2,26,35)(H3,27,28,29,30,31)",COc1cc2CCCN(C(=O)CN(C)C)c2cc1Nc3nc(Nc4ccsc4C(=O)N)c5cc[nH]c5n3,CHEMBL456252,"InChI=1S/C25H28N8O3S/c1-32(2)13-20(34)33-9-4-5-14-11-19(36-3)17(12-18(14)33)29-25-30-23-15(6-8-27-23)24(31-25)28-16-7-10-37-21(16)22(26)35/h6-8,10-12H,4-5,9,13H2,1-3H3,(H2,26,35)(H3,27,28,29,30,31)",COc1cc2CCCN(C(=O)CN(C)C)c2cc1Nc3nc(Nc4ccsc4C(=O)N)c5cc[nH]c5n3,IGF-1R,CHEMBL1957,CHEMBL1154545,"Bioorg. Med. Chem. Lett., 19, p. 373 (2009)",19081716
GSK2163632A,495400,CHEMBL463931,"InChI=1S/C27H32N8O3S/c1-27(2)8-10-35(21(36)14-34(3)4)19-13-18(20(38-5)12-16(19)27)31-26-32-24-15(6-9-29-24)25(33-26)30-17-7-11-39-22(17)23(28)37/h6-7,9,11-13H,8,10,14H2,1-5H3,(H2,28,37)(H3,29,30,31,32,33)",COc1cc2c(cc1Nc3nc(Nc4ccsc4C(=O)N)c5cc[nH]c5n3)N(CCC2(C)C)C(=O)CN(C)C,CHEMBL463931,"InChI=1S/C27H32N8O3S/c1-27(2)8-10-35(21(36)14-34(3)4)19-13-18(20(38-5)12-16(19)27)31-26-32-24-15(6-9-29-24)25(33-26)30-17-7-11-39-22(17)23(28)37/h6-7,9,11-13H,8,10,14H2,1-5H3,(H2,28,37)(H3,29,30,31,32,33)",COc1cc2c(cc1Nc3nc(Nc4ccsc4C(=O)N)c5cc[nH]c5n3)N(CCC2(C)C)C(=O)CN(C)C,IGF-1R,CHEMBL1957,CHEMBL1154545,"Bioorg. Med. Chem. Lett., 19, p. 373 (2009)",19081716
GSK2186269A,495340,CHEMBL458415,"InChI=1S/C27H29N7O2/c1-32(2)16-24(35)33-12-10-18-14-23(36-3)20(15-22(18)33)29-27-30-25-19(8-11-28-25)26(31-27)34-13-9-17-6-4-5-7-21(17)34/h4-8,11,14-15H,9-10,12-13,16H2,1-3H3,(H2,28,29,30,31)",COc1cc2CCN(C(=O)CN(C)C)c2cc1Nc3nc(N4CCc5ccccc45)c6cc[nH]c6n3,CHEMBL458415,"InChI=1S/C27H29N7O2/c1-32(2)16-24(35)33-12-10-18-14-23(36-3)20(15-22(18)33)29-27-30-25-19(8-11-28-25)26(31-27)34-13-9-17-6-4-5-7-21(17)34/h4-8,11,14-15H,9-10,12-13,16H2,1-3H3,(H2,28,29,30,31)",COc1cc2CCN(C(=O)CN(C)C)c2cc1Nc3nc(N4CCc5ccccc45)c6cc[nH]c6n3,IGF-1R,CHEMBL1957,CHEMBL1154545,"Bioorg. Med. Chem. Lett., 19, p. 373 (2009)",19081716
GSK2213727A,495831,CHEMBL511765,"InChI=1S/C25H27FN8O3/c1-13-10-19(37-4)18(11-17(13)29-20(35)12-34(2)3)31-25-32-23-14(8-9-28-23)24(33-25)30-16-7-5-6-15(26)21(16)22(27)36/h5-11H,12H2,1-4H3,(H2,27,36)(H,29,35)(H3,28,30,31,32,33)",COc1cc(C)c(NC(=O)CN(C)C)cc1Nc2nc(Nc3cccc(F)c3C(=O)N)c4cc[nH]c4n2,CHEMBL511765,"InChI=1S/C25H27FN8O3/c1-13-10-19(37-4)18(11-17(13)29-20(35)12-34(2)3)31-25-32-23-14(8-9-28-23)24(33-25)30-16-7-5-6-15(26)21(16)22(27)36/h5-11H,12H2,1-4H3,(H2,27,36)(H,29,35)(H3,28,30,31,32,33)",COc1cc(C)c(NC(=O)CN(C)C)cc1Nc2nc(Nc3cccc(F)c3C(=O)N)c4cc[nH]c4n2,IGF-1R,CHEMBL1957,CHEMBL1154536,"Bioorg. Med. Chem. Lett., 19, p. 360 (2009)",19071018
